team_api_id,date,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
9930,2010-02-22 00:00:00,60,50,60,65,55,50,55,45
9930,2014-09-19 00:00:00,52,56,54,63,64,47,44,54
9930,2015-09-10 00:00:00,47,54,54,63,64,47,44,54
8485,2010-02-22 00:00:00,70,70,70,70,70,60,70,70
8485,2011-02-22 00:00:00,47,52,53,48,52,47,47,52
8485,2012-02-22 00:00:00,58,62,45,70,55,40,40,60
8485,2013-09-20 00:00:00,62,45,40,50,55,42,42,60
8485,2014-09-19 00:00:00,58,62,56,68,57,41,42,60
8485,2015-09-10 00:00:00,59,53,51,72,63,49,45,63
8576,2010-02-22 00:00:00,60,40,45,35,55,30,70,30
8576,2011-02-22 00:00:00,65,45,65,65,50,45,45,50
8576,2012-02-22 00:00:00,59,52,48,34,52,38,47,53
8576,2013-09-20 00:00:00,59,52,48,34,52,38,47,53
8576,2014-09-19 00:00:00,59,52,48,38,52,38,47,53
8576,2015-09-10 00:00:00,59,52,48,38,52,38,47,53
8564,2010-02-22 00:00:00,45,30,55,45,70,30,35,60
8564,2011-02-22 00:00:00,65,50,50,60,50,50,50,50
8564,2012-02-22 00:00:00,45,50,65,20,50,45,45,50
8564,2013-09-20 00:00:00,48,54,51,53,64,48,49,53
8564,2014-09-19 00:00:00,48,52,66,36,75,58,57,49
8564,2015-09-10 00:00:00,48,52,66,36,69,58,57,49
10215,2010-02-22 00:00:00,30,30,50,60,55,30,30,30
10215,2011-02-22 00:00:00,30,50,50,50,55,30,45,65
10215,2012-02-22 00:00:00,45,44,55,57,60,52,38,61
10215,2013-09-20 00:00:00,45,44,55,57,60,52,38,61
10215,2014-09-19 00:00:00,52,44,55,51,60,39,38,61
10215,2015-09-10 00:00:00,53,44,55,51,60,39,38,61
10217,2010-02-22 00:00:00,30,35,30,50,65,30,30,30
10217,2011-02-22 00:00:00,53,53,48,67,66,46,62,65
10217,2012-02-22 00:00:00,38,44,55,60,44,50,58,62
10217,2013-09-20 00:00:00,38,47,55,55,44,50,58,52
10217,2014-09-19 00:00:00,58,55,55,52,44,57,50,52
10217,2015-09-10 00:00:00,56,66,55,52,38,40,50,52
8593,2010-02-22 00:00:00,30,30,50,60,70,30,30,30
8593,2011-02-22 00:00:00,40,38,67,65,67,65,57,63
8593,2012-02-22 00:00:00,31,33,39,64,46,68,65,60
8593,2013-09-20 00:00:00,35,33,39,52,46,68,65,50
8593,2014-09-19 00:00:00,40,30,51,55,39,64,53,64
8593,2015-09-10 00:00:00,35,39,58,55,30,64,53,59
9865,2010-02-22 00:00:00,65,45,45,45,70,70,65,30
9865,2011-02-22 00:00:00,55,53,57,54,69,58,68,67
9865,2012-02-22 00:00:00,42,70,57,54,40,37,53,45
9865,2013-09-20 00:00:00,46,65,57,54,40,37,53,45
9865,2014-09-19 00:00:00,46,65,57,54,40,37,53,45
9865,2015-09-10 00:00:00,46,65,57,54,40,37,53,45
8635,2010-02-22 00:00:00,50,35,70,50,60,70,50,70
8635,2011-02-22 00:00:00,50,52,70,50,60,70,50,70
8635,2012-02-22 00:00:00,52,41,53,57,47,45,43,52
8635,2013-09-20 00:00:00,52,41,68,67,47,60,43,65
8635,2014-09-19 00:00:00,52,51,60,53,47,60,50,65
8635,2015-09-10 00:00:00,52,51,60,53,47,53,50,61
8121,2010-02-22 00:00:00,45,35,35,50,60,30,55,30
8121,2011-02-22 00:00:00,65,50,50,65,65,45,45,50
8121,2012-02-22 00:00:00,50,50,52,52,48,44,44,51
8121,2013-09-20 00:00:00,50,50,52,52,48,44,44,51
8121,2014-09-19 00:00:00,48,50,40,52,48,44,44,51
8121,2015-09-10 00:00:00,48,50,40,52,48,44,44,51
8322,2010-02-22 00:00:00,30,45,45,35,70,65,70,70
8322,2011-02-22 00:00:00,46,37,33,62,52,47,48,45
108893,2010-02-22 00:00:00,50,65,30,35,30,30,50,35
108893,2011-02-22 00:00:00,50,65,35,35,35,25,45,35
108893,2012-02-22 00:00:00,23,33,49,40,43,44,32,36
108893,2013-09-20 00:00:00,41,48,58,40,43,39,43,58
108893,2014-09-19 00:00:00,39,54,49,40,43,44,53,57
108893,2015-09-10 00:00:00,56,54,55,40,43,48,53,57
9912,2010-02-22 00:00:00,40,65,45,70,50,45,40,50
9912,2011-02-22 00:00:00,46,58,45,33,42,38,48,50
9912,2014-09-19 00:00:00,62,55,56,51,52,36,54,48
158085,2014-09-19 00:00:00,69,39,55,59,46,35,37,37
158085,2015-09-10 00:00:00,65,39,55,59,46,37,39,37
9825,2010-02-22 00:00:00,66,30,30,45,35,30,40,50
9825,2011-02-22 00:00:00,75,40,40,45,65,50,40,45
9825,2012-02-22 00:00:00,25,32,41,34,30,57,57,52
9825,2013-09-20 00:00:00,30,29,41,55,39,64,54,52
9825,2014-09-19 00:00:00,59,26,28,55,64,51,44,52
9825,2015-09-10 00:00:00,59,30,28,44,46,51,44,52
10252,2010-02-22 00:00:00,70,59,65,70,50,30,70,30
10252,2011-02-22 00:00:00,65,50,45,55,50,35,45,65
10252,2012-02-22 00:00:00,67,58,44,60,56,43,50,52
10252,2013-09-20 00:00:00,63,59,52,55,34,39,41,54
10252,2014-09-19 00:00:00,66,72,63,48,56,39,42,52
10252,2015-09-10 00:00:00,63,54,60,48,38,35,44,54
8524,2010-02-22 00:00:00,35,40,35,30,55,30,30,55
8524,2011-02-22 00:00:00,65,50,50,65,55,45,55,65
8524,2012-02-22 00:00:00,40,50,53,47,50,55,42,50
8524,2013-09-20 00:00:00,64,36,38,49,51,54,53,49
8524,2014-09-19 00:00:00,64,37,38,49,51,36,66,49
8524,2015-09-10 00:00:00,64,37,38,49,51,36,63,49
8315,2010-02-22 00:00:00,60,45,35,70,55,30,70,35
8315,2011-02-22 00:00:00,70,69,55,72,57,48,67,55
8315,2012-02-22 00:00:00,42,59,36,78,59,37,60,68
8315,2013-09-20 00:00:00,46,38,52,73,37,37,60,68
8315,2014-09-19 00:00:00,46,38,52,68,37,37,60,65
